,Plot.ID,Date,Plot,Elevation,Warming,Removal,Treatment,Month,Day,Week,DOY,DOG,HHMMSS,Hour.EST,Hour,Minute,FTime,Mode,Smpls,EFFLUX,C2avg,Wavg,dc..dt,Vtot,RHcmbr,Tsoil_C,RHirga,Tsch_C,dC.dt,dW.dt,R.C.m,R.C.b,InsDpth,TBlk,CO2S,H2OS,Tair,Tleaf,PARo,Press,uc_21_mV,Status,PgSts,satVapTsch,eAir_2_kPa,Tsoil,VWC1,VWC2,VWC3,mean.VWC,NDVI.1,NDVI.2,NDVI.3,NDVI.4,mean.NDVI,Percent.Functional...Diversity,Phosphatase,PhosD,B.gluc,NAG,B.cell,B.xylo,a.gluc,LAP,Phenol,Perox,MicrobialBiomassC,MicrobialBiomassN,mean_temp_date_soil,min_temp_soil,max_temp_soil,mean_temp_date_air,min_temp_air,max_temp_air,Experiment_Length_yr,ug_NH4_week_cm2,ug_NO3_week_cm2,Inorganic_N,ug_TP_week_cm2,NP,pH,Soil_Percent_C,Soil_Percent_N,Soil_CN,Bare_Soil,Litter,Rock,Graminoid,Forb,Woody,Legume,Cryptogram,Total_Plant_Cover_All,Total_Plant_Cover_Vascular_Only,Graminoid_Relative,Forb_Relative,Woody_Relative,Legume_Relative,Cryptogram_Relative,Notes,Species_Richness,Total_Cover_Scaled,PCA_PlantComm_Loadings
1,10High,7/21/21,10,High,A,R,AR,7,21,29,202,15,16:58:24,16,14,58,2011.5,4,33,2.33508612,112,49.90454229,0.192273485,991,77.37731529,-162.3462565,92.91431427,30.52292697,0.771744549,0.029264104,0.003707189,-0.222931643,0,27.51939583,122.8411916,50.06875483,27.36222712,30.52292697,0.170310152,67.84579976,1623.462565,110004,#DIV/0!,4.390291249,3.396954854,NA,11,6,12,9.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.09375,5.5,38.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
2,10High,7/13/21,10,High,A,R,AR,7,13,28,194,7,15:03:12,15,13,3,6970,4,34,1.575613817,124,17.93851153,0.129737725,991,47.78952993,-34.66282959,45.84968948,21.36292775,0.473776629,-0.010974432,-8.84E-06,0.130833889,0,20.30803998,129.5136566,17.88240814,21.95987193,21.36292775,0.24583979,67.88631694,346.6282959,110004,#DIV/0!,2.567425841,1.213971893,52.6,6,8,10,8,0.3947,0.2716,0.5273,0.3864,0.3951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,4.5,34.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
3,10High,9/14/21,10,High,A,R,AR,9,14,37,257,111,14:57:22,14,12,57,3073.5,4,40,1.07,112,17.11823654,0.088262096,991,23.29164624,-128.7971191,30.3920536,32.75417709,0.35710457,0.010509265,0.001378961,-0.066181526,0,28.1,116.403862,17.17700005,28.10728836,32.75417709,0.213264838,67.56494141,1287.971191,110004,4:Compute Final,4.982743513,1.160562992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.29032258,2.921661024,0.120032058,2.313606289,0.45198029,0.531340186,0.530194706,0,0.003406215,0,46.78183876,229.8001518,18.40141669,NA,NA,NA,13.09375,1,38,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
4,10High,8/1/21,10,High,A,R,AR,8,1,30,213,26,15:34:19,15,13,34,1559,4,33,1.774602965,111,42.10143852,0.146122704,991,42.27812442,-188.8469788,87.27993774,38.42690468,0.567037925,0.005578387,0.001308853,0.000840068,0,25.64865685,118.2703857,42.18394852,25.58124828,38.42690468,0.215503132,68.10376358,1888.469788,110004,#DIV/0!,6.824859597,2.872885942,20,22,20,19,20.33333333,0.3198,0.3198,0.3198,0.1508,0.27755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09375,6,32.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
5,10High,8/12/21,10,High,A,R,AR,8,12,32,224,37,15:05:30,15,13,5,2056,4,33,1.841769021,108,19.65712166,0.151653228,991,25.27361098,-152.1686279,29.41737938,33.75908661,0.610084057,-0.010791805,0.003835915,-0.262625605,0,30.95084,114.4006653,19.61594391,31.06862259,33.75908661,0.208816543,67.92080688,1521.686279,110004,4:Compute Final (1),5.271627804,1.332330704,57.6,4,2,6,4,0.4925,0.5788,0.5717,0.4797,0.530675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25,2.5,38,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
6,10High,7/20/21,10,High,A,R,AR,7,20,29,201,14,13:43:16,13,11,43,2585.5,4,39.66666667,1.399616377,118,22.14056333,0.115245907,991,32.58696579,-140.3674886,38.35273361,31.52779643,0.426387588,0.01161169,-0.000799885,0.209632312,0,28.6303374,123.365509,22.20412127,28.64883931,31.52779643,0.151064844,68.06746165,1403.674886,110004,#DIV/0!,4.655431435,1.511377454,39.1,4,6,8,6,0.6286,0.2866,0.5136,0.3423,0.442775,90.32258065,3.146298127,0.180503921,2.026832767,0.389728888,0.595337958,0.519825113,0.047304129,0.029458534,0,46.85085661,144.5295676,29.51195961,NA,NA,NA,15,6,39.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
7,10High,8/27/21,10,High,A,R,AR,8,27,34,239,52,15:25:59,15,13,25,3687.5,4,33,2.317623361,114,48.37320073,0.190835583,991,80.62155998,-118.2757853,87.82302094,29.31478182,0.780977011,0.067583411,0.002276018,-0.068630477,0,27.90804482,125.8539708,48.72680664,27.81056658,29.31478182,0.062203946,67.64141337,1182.757853,110004,#DIV/0!,4.098915672,3.295948426,28.6,12,9,12,11,0.6419,0.5033,0.6125,0.535,0.573175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,1,32.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
8,10High,7/6/21,10,High,A,R,AR,7,6,27,187,0,13:27:01,13,11,27,2798.5,4,34,1.673043383,112,28.59840838,0.137760179,991,87.24240042,-134.9221639,82.40115102,19.27465884,0.49904261,0.02965595,0.002160114,-0.104172594,0,20.09320513,117.5399602,28.76375071,20.16108576,19.27465884,0.220682845,67.87200673,1349.221639,110004,#DIV/0!,2.245616729,1.952253461,13.6,17,14,16,15.66666667,0.3855,0.299,0.4057,0.4158,0.3765,96.77419355,1.662556404,0.11933654,1.827636218,0.172917198,0.462904624,0.425225453,0.008967857,0.028065376,0,50.11604238,441.886983,102.9985588,NA,NA,NA,14.25,4,33.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
9,10High,8/4/21,10,High,A,R,AR,8,4,31,216,29,15:39:33,15,13,39,2174.5,4,33,3.388432585,125,50.73107656,0.279007158,991,42.23084747,-157.2304403,85.32698313,41.83229955,1.152003249,0.015763107,0.001989655,0.030300322,0,29.15507317,144.2395274,50.80146917,29.09483782,41.83229955,0.143665994,67.92192586,1572.304403,110004,#DIV/0!,8.171045497,3.45053339,28,13,16,30,19.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,1.5,33,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
10,10High,8/31/21,10,High,A,R,AR,8,31,35,243,56,16:04:10,16,14,4,1471.75,4,33,1.567474492,108,20.32583237,0.129067524,991,23.79308094,-162.9820801,35.38773155,35.48455048,0.497551128,0.021500587,0.001595729,-0.043271199,0,28.42170811,114.4841728,20.45751667,28.44982815,35.48455048,0.082194939,67.38695145,1629.820801,110004,#DIV/0!,5.805330367,1.378569305,32.4,7,8,7,7.333333333,0.3773,0.5095,0.493,0.4294,0.4523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1875,1,38.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
